"V1";"value"
1995;9.65102282034595
1995.08333333333;9.20726739575916
1995.16666666667;10.1200498383621
1995.25;8.03892889725973
1995.33333333333;8.85650550692224
1995.41666666667;8.94212931547413
1995.5;9.5961442891033
1995.58333333333;9.47391451462314
1995.66666666667;9.20807874047592
1995.75;9.46195667299866
1995.83333333333;9.31285634176094
1995.91666666667;9.1967226562679
1996;9.38093640305596
1996.08333333333;7.77809912255672
1996.16666666667;8.65240798298813
1996.25;8.35943035784374
1996.33333333333;9.27860940555047
1996.41666666667;8.85456660901805
1996.5;10.8709792259794
1996.58333333333;9.7393102368821
1996.66666666667;9.21589801263264
1996.75;9.77546698051772
1996.83333333333;9.3277139756356
1996.91666666667;9.14948422979299
1997;9.2689619813172
1997.08333333333;8.02266982629532
1997.16666666667;8.24926820697328
1997.25;9.01644034055266
1997.33333333333;8.97265325675411
1997.41666666667;9.48029052470146
1997.5;10.9325591644171
1997.58333333333;9.34355045059571
1997.66666666667;9.699049367663
1997.75;9.75912909747507
1997.83333333333;8.91411400212119
1997.91666666667;9.80076135516927
1998;8.87324866228053
1998.08333333333;8.56012887640036
1998.16666666667;9.69527468988077
1998.25;9.11437957136245
1998.33333333333;8.90165329075171
1998.41666666667;9.34881254051506
1998.5;10.8704773889664
1998.58333333333;9.54530116631074
1998.66666666667;9.45610699759545
1998.75;9.59799408611589
1998.83333333333;9.14356907809338
1998.91666666667;9.82689016178386
1999;8.46408770538508
1999.08333333333;8.24198414215446
1999.16666666667;9.2883851839572
1999.25;8.482075362769
1999.33333333333;8.2022284905875
1999.41666666667;9.17316605013637
1999.5;10.0913946938796
1999.58333333333;9.36961211288168
1999.66666666667;9.11562939706828
1999.75;8.68517134104204
1999.83333333333;8.96353653819158
1999.91666666667;9.15093655741477
2000;8.28572813039798
2000.08333333333;7.92654561845992
2000.16666666667;8.49251675591512
2000.25;7.34013062889965
2000.33333333333;8.53451630281387
2000.41666666667;7.86726093143866
2000.5;9.00000527362452
2000.58333333333;9.02691798642701
2000.66666666667;8.41139979680284
2000.75;8.42938025337237
2000.83333333333;8.28829872918969
2000.91666666667;7.99527118000009
2001;8.59603296470328
2001.08333333333;7.38111091449144
2001.16666666667;8.12368293528815
2001.25;6.89238788586704
2001.33333333333;7.9985466942472
2001.41666666667;7.96533093327589
2001.5;8.79525861692962
2001.58333333333;8.95739230783406
2001.66666666667;7.83896230636959
2001.75;8.81479299294855
2001.83333333333;8.31997832963618
2001.91666666667;7.6861104910593
2002;8.65399772852807
2002.08333333333;7.65608039182198
2002.16666666667;8.12087477615064
2002.25;7.6246202320783
2002.33333333333;8.3140363518012
2002.41666666667;7.66528920628138
2002.5;9.23556358838282
2002.58333333333;8.85554039302323
2002.66666666667;8.32408033594858
2002.75;8.5498291980885
2002.83333333333;8.05580564450677
2002.91666666667;7.7576310915894
2003;8.81680079260577
2003.08333333333;7.40443072197489
2003.16666666667;7.63922415367649
2003.25;7.25657557761834
2003.33333333333;7.42565801149788
2003.41666666667;7.67887926277827
2003.5;8.71357747482408
2003.58333333333;8.21702771004321
2003.66666666667;8.51711785155293
2003.75;8.62267514781966
2003.83333333333;7.70699416397125
2003.91666666667;8.54433058072465
2004;8.07078893613205
2004.08333333333;7.43336455064384
2004.16666666667;8.37945251226468
2004.25;7.61222680767714
2004.33333333333;7.1106854096606
2004.41666666667;8.25748658504105
2004.5;8.91842110000557
2004.58333333333;8.60461871000616
2004.66666666667;8.5905810369018
2004.75;8.01565656791932
2004.83333333333;8.13196693856261
2004.91666666667;8.44462178037065
2005;8.0788732332179
2005.08333333333;7.54273024195408
2005.16666666667;8.19586984673661
2005.25;8.03568904747472
2005.33333333333;7.35668323358584
2005.41666666667;8.21720834623747
2005.5;8.8649028595231
2005.58333333333;9.48367876954156
2005.66666666667;9.43642886344114
2005.75;8.80660111453082
2005.83333333333;8.4256422847759
2005.91666666667;8.76559074482329
2006;8.92149021271568
2006.08333333333;8.07145976124699
2006.16666666667;9.06349848690683
2006.25;7.45630514451872
2006.33333333333;8.09875968802419
2006.41666666667;8.37520435613708
2006.5;8.81941413284106
2006.58333333333;9.50635383577118
2006.66666666667;8.87202497877994
2006.75;8.65118239348931
2006.83333333333;8.71040444513694
2006.91666666667;8.1423808007731
2007;8.90352807816893
2007.08333333333;7.83593997606053
2007.16666666667;8.56562439562568
2007.25;7.24022024981555
2007.33333333333;8.05569363613519
2007.41666666667;8.22978793726188
2007.5;9.11100393049201
2007.58333333333;9.31834447019903
2007.66666666667;8.18002221931734
2007.75;8.69899328251319
2007.83333333333;8.37692363927122
2007.91666666667;7.55586621209274
2008;9.19215221109547
2008.08333333333;7.976638916282
2008.16666666667;7.80141131211949
2008.25;8.08562839573955
2008.33333333333;7.34160966981778
2008.41666666667;7.88746654611047
2008.5;9.18472314508141
2008.58333333333;8.70929532158979
2008.66666666667;8.81313347414636
2008.75;8.64565472171446
2008.83333333333;7.49407240881904
2008.91666666667;8.1411945938644
2009;8.05219611909534
2009.08333333333;7.24476062202463
2009.16666666667;7.78556950827379
2009.25;6.91382487513314
2009.33333333333;6.68321260971629
2009.41666666667;7.23245879810741
2009.5;8.42888603857603
2009.58333333333;7.85377574395615
2009.66666666667;8.11581267220293
2009.75;7.59416692724816
2009.83333333333;7.16220582202407
2009.91666666667;7.5469130024762
2010;7.51438420267472
2010.08333333333;7.15337988456794
2010.16666666667;7.80513675762542
2010.25;6.72485124569023
2010.33333333333;6.48899567229599
2010.41666666667;7.15271795634565
2010.5;7.79180907403979
2010.58333333333;8.06149342991534
